ID,Name,Longitude,Latitude,Altitude,Type
2990,Semič,15.178055719473193,45.648080680488476,241,1
2336,Veržej,16.169660161932903,46.58136985343698,182,1
2861,Zgornji Tuhinj,14.784473147745189,46.224046556894166,665,1
1774,Gradišče (Slovenj Gradec),15.115855796464794,46.52255799102298,786,1
1652,Bukovo,13.906249979613058,46.148311632670115,706,1
2454,Škofja Loka,14.292434562810712,46.17196143876737,367,1
1779,Cankova,16.021801911385207,46.71937785522204,212,1
2198,Kozji Vrh,15.262559350766136,46.59890313574721,332,1
1649,Kneške Ravne,13.824743967925246,46.21533637318197,739,1
3210,Sevno (Šmartno pri Litiji),14.923754764800734,45.9797307599775,501,1
4727,Vinji Vrh pri Beli Cerkvi,15.274056596211855,45.86903606347665,192,1
1780,Kadrenci,15.950284431270973,46.56817455836195,302,1
1792,Martinje,16.13761513536956,46.846133873643595,380,1
3297,Domžale,14.602245657265682,46.13433294069109,296,1
2863,Šentjur,15.397441887694903,46.21926598906836,266,1
1745,Jeronim,14.948081645542322,46.26677469094796,760,1
3391,Črnivec,14.68142373032755,46.263224995236925,848,1
1724,Sevnica,15.299487950170613,46.01286522861439,179,1
4592,Kozina,13.940742577901977,45.610142843806244,507,1
2849,Bizeljsko,15.691291582948041,46.0159383040035,175,2
2855,Ljubljana Šentvid,14.463595362673143,46.08761110621021,342,1
2469,Podraga,13.95247068371679,45.80729425857177,163,1
1710,Zgornje Loke pri Blagovici,14.782353429797022,46.1727932196336,394,1
3147,Moravče,14.762126347037748,46.14492401135878,408,1
4584,Samotorica,14.249876803430508,46.029555532447084,648,1
1798,Bled,14.099811765237549,46.35954582138854,482,1
4749,Javorniški Rovt,14.101440235723265,46.45692574983515,939,1
1799,Cerkno,13.987163858895714,46.136747235078296,354,1
1717,Podsreda,15.590089427728188,46.0409630708057,245,1
1704,Želimlje,14.577508845611325,45.922024722039495,309,1
1716,Podčetrtek,15.59458413593827,46.15956402680208,254,1
1801,Ljubljana Dobrunje,14.59030146380765,46.03762959012168,284,1
1900,Lisca,15.284895206228278,46.06777062387381,947,3
1694,Kočevje,14.85013473943114,45.64596690539311,467,2
2508,Grosuplje,14.651198937756039,45.959964137367386,350,2
4623,Jermanka,14.10577378386839,46.38126677451347,517,1
3162,Vrbnje,14.191942984558782,46.35106430615458,507,1
1896,Portorož - letališče,13.616035368367077,45.475342112134385,2,3
2362,Dekani,13.815262963167829,45.546058210538575,80,1
1809,Belšinja vas,14.981427715652293,45.907825087054874,302,1
1814,Sela na Krasu,13.626467693549772,45.82030291796476,274,1
1816,Planina v Podbočju,15.506595748348369,45.82903370301915,687,1
3144,Zgornji Kamenščak,16.156123074037822,46.51425538215532,240,1
2310,Spodnji Dolič,15.258785444399892,46.41590502679258,775,1
2482,Celje Medlog,15.22586974902397,46.236579629577584,242,3
1651,Podbrdo,13.970699153562707,46.21262950385043,503,1
1785,Srednja Bistrica,16.278882959960107,46.55071598586358,171,1
1777,Šentilj v Slovenskih goricah,15.639822393139807,46.688267195210514,306,1
1639,Bohinjska Bistrica,13.950147597227602,46.27303158826264,507,1
2875,Žetale,15.800211630143993,46.280563156216445,342,1
1811,Ptujska Gora,15.76171114359719,46.3534437494842,319,1
1690,Sodražica,14.638216244516995,45.76294951764808,542,1
1763,Črešnjevec (Slovenska Bistrica),15.610719403791256,46.37285957845668,294,1
1622,Poljane nad Škofjo Loko,14.185041199366303,46.12033991323873,385,1
43,Leskovica,14.082705021095014,46.14860132053905,793,1
1781,Ptuj,15.883181589518978,46.43012363521024,240,1
